sale_id,product_id,region,amount,quantity,sale_date
S00001,P001,North,373.36,8,2024-04-24
S00002,P002,North,341.58,18,2024-02-14
S00003,P005,West,25.57,3,2024-04-21
S00004,P002,North,285.01,18,2024-08-02
S00005,P002,West,298.74,1,2024-03-22
S00006,P004,East,,7,2024-06-21
S00007,P001,North,196.16,12,2024-06-25
S00008,P005,East,405.49,15,2024-10-01
S00009,P001,West,48.61,10,2024-11-17
S00010,P005,East,292.9,3,2024-01-24
S00010,P002,East,492.76,8,2024-02-21
S00012,P004,East,232.17,12,2024-03-24
S00013,P003,East,112.66,9,2024-12-25
S00014,P001,South,271.73,8,2024-03-24
S00015,P004,West,142.27,18,2024-04-22
S00016,P003,North,122.23,2,2024-06-10
S00017,P004,East,42.43,19,2024-06-10
S00018,P002,West,203.86,15,2024-03-14
S00019,P003,South,130.85,18,2024-10-02
S00020,P003,West,449.93,13,2024-07-04
S00021,P002,  east  ,259.67,3,2024-01-25
S00022,P001,South,317.45,14,2024-11-01
S00023,P001,West,196.99,15,2024-09-27
S00024,P003,North,343.34,4,2024-12-15
S00025,P005,East,386.61,11,2024-02-27
S00026,P003,West,87.5,1,2024-05-14
S00027,P005,South,258.76,4,2024-11-16
S00028,P003,South,84.89,6,2024-10-03
S00029,P005,North,303.48,16,2024-01-10
S00030,P001,East,440.57,10,2024-05-02
S00031,P001,South,440.22,3,2024-02-13
S00032,P004,North,489.21,18,2024-03-05
S00033,P002,West,473.96,6,2024-05-15
S00034,P005,West,482.54,18,2024-12-19
S00035,P002,East,205.51,12,2024-08-12
S00036,P005,West,69.29,8,2024-02-02
S00037,P003,North,298.27,8,2024-10-28
S00038,P002,North,44.79,2,2024-04-27
S00039,P001,North,431.22,3,2024-09-20
S00040,P002,East,337.8,7,2024-10-03
S00041,P002,West,129.07,16,2024-07-27
S00042,P002,North,57.5,14,2024-06-30
S00043,P004,West,238.84,2,2024-12-10
S00044,P001,North,207.28,11,2024-02-25
S00045,P002,South,103.2,15,2024-03-12
S00046,P004,South,146.49,8,2024-02-08
S00047,P004,North,34.79,18,2024-01-08
S00048,P001,South,91.49,16,2024-09-03
S00049,P002,West,452.2,6,2024-07-13
S00050,P001,West,139.95,15,2024-05-26
S00051,P004,West,85.85,10,2024-04-21
S00052,P001,North,376.51,2,2024-01-26
S00053,P005,West,256.4,17,2024-03-21
S00054,P001,North,427.16,3,2024-10-31
S00055,P001,South,207.85,19,2024-05-06
S00056,P005,North,313.5,14,2024-12-02
S00057,P005,East,468.01,7,2024-12-08
S00058,P003,South,140.15,5,2024-12-09
S00059,P003,West,164.93,3,2024-01-05
S00060,P004,North,45.9,7,2024-09-16
S00061,P003,South,467.3,3,2024-05-05
S00062,P003,East,87.3,18,2024-12-26
S00063,P003,North,337.25,18,2024-06-02
S00064,P001,South,139.59,4,2024-10-10
S00065,P002,East,148.06,7,2024-06-24
S00066,P002,East,257.65,9,2024-01-27
S00067,P001,West,416.38,2,2024-01-02
S00068,P003,South,322.19,9,2024-03-23
S00069,P004,West,284.84,4,2024-02-08
S00070,P002,North,418.95,19,2024-10-09
S00071,P002,West,72.45,10,2024-07-05
S00072,P001,East,112.94,8,2024-12-07
S00073,P001,East,392.26,14,2024-11-13
S00074,P002,South,433.66,6,2024-07-30
S00075,P001,South,370.92,11,2024-07-29
S00076,P002,East,88.01,4,2024-07-14
S00077,P001,West,118.99,15,2024-06-28
S00078,P003,South,119.23,7,2024-07-23
S00079,P003,East,433.53,9,2024-06-28
S00080,P005,West,342.96,18,2024-06-18
S00081,P001,North,439.75,9,2024-04-01
S00082,P005,East,28.75,20,2024-08-10
S00083,P003,East,223.83,17,2024-02-29
S00084,P004,South,134.81,14,2024-01-01
S00085,P005,South,188.47,3,2024-12-06
S00086,P003,East,335.06,4,2024-06-02
S00087,P005,East,336.78,11,2024-07-25
S00088,P003,South,104.0,13,2024-12-12
S00089,P002,East,208.98,1,2024-06-04
S00090,P003,South,220.65,19,2024-11-06
S00091,P003,West,226.48,7,2024-09-18
S00092,P004,South,332.84,10,2024-09-20
S00093,P005,East,55.76,8,2024-12-10
S00094,P003,South,405.22,5,2024-01-13
S00095,P001,South,492.13,20,2024-02-07
S00096,P004,West,444.21,19,2024-04-09
S00097,P004,West,205.83,5,2024-12-01
S00098,P001,North,391.43,8,2024-03-31
S00099,P005,West,34.61,8,2024-03-03
S00100,P004,South,402.69,17,2024-10-13
S00101,P005,East,475.52,15,2024-11-09
S00102,P005,West,416.98,18,2024-08-16
S00103,P002,West,230.53,8,2024-11-22
S00104,P003,West,317.11,9,2024-08-13
S00105,P001,East,124.9,11,2024-06-12
S00106,P005,North,77.8,8,2024-07-15
S00107,P002,South,41.47,14,2024-06-18
S00108,P005,West,213.73,7,2024-08-03
S00109,P004,North,429.8,19,2024-07-13
S00110,P004,North,471.94,10,2024-07-18
S00111,P004,South,249.23,9,2024-08-11
S00112,P004,North,200.54,13,2024-03-25
S00113,P004,South,490.55,18,2024-01-14
S00114,P004,North,51.13,14,2024-03-10
S00115,P004,South,34.64,13,2024-06-16
S00116,P002,West,170.15,13,2024-05-22
S00117,P004,East,419.11,16,2024-01-10
S00118,P005,North,499.95,12,2024-04-24
S00119,P001,North,379.57,8,2024-04-12
S00120,P001,South,126.89,16,2024-12-08
S00121,P001,South,237.87,9,2024-07-07
S00122,P002,North,391.12,6,2024-06-08
S00123,P001,North,465.15,19,2024-12-12
S00124,P004,West,471.32,7,2024-02-08
S00125,P005,South,59.93,10,2024-12-16
S00126,P005,North,400.15,19,2024-01-22
S00127,P003,West,334.15,3,2024-09-16
S00128,P003,North,426.29,16,2024-02-24
S00129,P004,East,321.44,15,2024-12-28
S00130,P002,West,96.31,17,2024-11-29
S00131,P003,West,237.79,19,2024-05-17
S00132,P003,South,417.06,3,2024-05-22
S00133,P004,South,377.73,19,2024-11-08
S00134,P004,East,24.06,11,2024-04-03
S00135,P004,South,183.86,9,2024-06-23
S00136,P003,East,282.34,17,2024-04-07
S00137,P001,South,362.84,16,2024-10-11
S00138,P002,West,326.49,16,2024-08-17
S00139,P001,North,154.18,13,2024-12-20
S00140,P002,East,335.34,12,2024-08-30
S00141,P005,East,218.5,18,2024-06-18
S00142,P003,West,142.75,9,2024-04-28
S00143,P001,South,164.62,18,2024-12-19
S00144,P002,South,116.03,16,2024-05-21
S00145,P005,East,490.45,7,2024-05-31
S00146,P002,East,97.93,1,2024-12-28
S00147,P005,South,144.41,2,2024-10-10
S00148,P003,South,322.56,16,2024-02-22
S00149,P001,East,240.0,15,2024-06-23
S00150,P002,North,133.71,16,2024-02-28
S00151,P001,West,250.96,19,2024-11-18
S00152,P001,South,83.11,19,2024-06-04
S00153,P001,South,68.04,14,2024-11-06
S00154,P005,South,390.09,13,2024-08-18
S00155,P004,East,431.48,14,2024-06-05
S00156,P005,North,308.72,4,2024-04-16
S00157,P002,East,333.61,6,2024-05-02
S00158,P002,North,86.7,14,2024-08-18
S00159,P005,West,152.72,8,2024-05-27
S00160,P003,West,44.88,8,2024-05-15
S00161,P005,South,218.32,18,2024-04-25
S00162,P002,East,415.05,3,2024-01-31
S00163,P002,East,301.57,19,2024-05-27
S00164,P004,North,239.66,10,2024-12-24
S00165,P004,East,255.23,16,2024-08-12
S00166,P001,North,445.82,11,2024-11-05
S00167,P003,North,54.75,19,2024-10-27
S00168,P001,East,292.36,6,2024-08-28
S00169,P005,West,458.88,6,2024-10-26
S00170,P004,West,484.84,16,2024-06-27
S00171,P004,East,167.32,4,2024-03-23
S00172,P003,West,349.9,10,2024-12-05
S00173,P004,North,232.86,11,2024-05-09
S00174,P003,North,485.39,13,2024-09-20
S00175,P001,West,212.49,7,2024-09-22
S00176,P003,West,316.45,2,2024-04-14
S00177,P003,South,464.56,15,2024-12-23
S00178,P004,North,24.15,20,2024-05-02
S00179,P002,East,279.91,18,2024-07-27
S00180,P001,South,496.21,4,2024-08-24
S00181,P001,South,254.2,10,2024-09-17
S00182,P003,West,419.01,16,2024-05-04
S00183,P004,South,197.96,20,2024-09-17
S00184,P002,North,145.36,14,2024-06-23
S00185,P005,East,412.07,10,2024-06-01
S00186,P005,West,433.98,15,2024-10-02
S00187,P004,East,172.9,18,2024-07-12
S00188,P004,East,436.1,8,2024-10-19
S00189,P004,South,429.45,14,2024-01-23
S00190,P003,West,355.56,13,2024-07-16
S00191,P002,West,482.76,5,2024-09-14
S00192,P005,East,436.15,15,2024-02-21
S00193,P005,West,17.52,5,2024-07-28
S00194,P002,North,240.05,9,2024-06-22
S00195,P005,West,328.42,11,2024-12-11
S00196,P005,West,477.53,16,2024-10-04
S00197,P001,North,125.04,10,2024-04-26
S00198,P001,West,489.39,4,2024-08-15
S00199,P002,East,452.68,2,2024-06-15
S00200,P001,East,185.65,14,2024-03-15
S00201,P002,West,287.3,6,2024-03-28
S00202,P002,North,308.65,13,2024-11-13
S00203,P002,West,457.29,5,2024-04-28
S00204,P004,East,235.19,1,2024-08-26
S00205,P003,South,46.19,12,2024-10-27
S00206,P003,West,348.25,15,2024-06-03
S00207,P002,West,428.13,4,2024-05-01
S00208,P004,East,291.66,10,2024-01-12
S00209,P004,East,13.97,2,2024-11-06
S00210,P004,East,390.11,8,2024-11-06
S00211,P003,South,321.94,20,2024-05-08
S00212,P002,North,452.67,2,2024-06-07
S00213,P004,North,293.99,5,2024-02-16
S00214,P003,East,376.27,6,2024-04-12
S00215,P002,East,270.12,9,2024-03-25
S00216,P003,West,484.02,10,2024-06-22
S00217,P001,West,481.82,5,2024-04-25
S00218,P004,East,54.25,13,2024-01-08
S00219,P003,North,232.85,9,2024-10-26
S00220,P004,East,63.09,8,2024-08-29
S00221,P001,East,458.48,8,2024-11-27
S00222,P001,West,455.6,10,2024-11-28
S00223,P004,North,78.49,2,2024-06-04
S00224,P004,North,57.62,18,2024-03-10
S00225,P004,West,191.8,18,2024-08-02
S00226,P005,South,443.85,4,2024-09-07
S00227,P005,West,470.14,9,2024-01-17
S00228,P003,South,227.26,8,2024-07-04
S00229,P001,East,276.79,12,2024-02-01
S00230,P004,East,103.01,4,2024-08-20
S00231,P001,South,324.44,20,2024-01-11
S00232,P001,East,129.35,5,2024-10-16
S00233,P002,North,416.61,18,2024-04-16
S00234,P005,South,408.4,8,2024-06-17
S00235,P002,North,145.86,5,2024-03-07
S00236,P005,East,401.27,4,2024-12-04
S00237,P001,South,17.28,8,2024-10-28
S00238,P003,North,95.38,2,2024-03-05
S00239,P004,North,375.38,16,2024-08-17
S00240,P003,North,231.48,8,2024-11-10
S00241,P001,East,234.44,1,2024-02-01
S00242,P004,West,218.87,4,2024-09-08
S00243,P004,North,450.64,11,2024-11-07
S00244,P002,North,71.83,20,2024-11-20
S00245,P005,East,196.64,20,2024-09-28
S00246,P003,West,257.72,14,2024-02-20
S00247,P001,South,220.73,8,2024-07-30
S00248,P003,West,205.38,4,2024-06-09
S00249,P004,East,335.9,12,2024-03-19
S00250,P004,North,54.7,3,2024-02-17
